,timestamp,bid,ask
0,1501614462,2742.741,2744.987
1,1501614463,2742.741,2747.683
2,1501614464,2744.99,2747.683
3,1501614469,2748.7290000000007,2748.7290000000007
4,1501614469,2744.99,2748.7290000000007
5,1501614487,2744.99,2747.591
6,1501614487,2747.474,2747.591
7,1501614508,2747.474,2747.59
8,1501614547,2747.475,2747.59
9,1501614560,2747.59,2748.7290000000007
10,1501614560,2747.59,2747.59
11,1501614560,2747.475,2747.563
12,1501614565,2747.475,2747.562
13,1501614600,2747.475,2748.7290000000007
14,1501614600,2747.59,2748.7290000000007
15,1501614612,2747.591,2748.7290000000007
16,1501614613,2747.591,2748.72
17,1501614615,2747.591,2747.796
18,1501614628,2747.59,2747.796
19,1501614631,2747.796,2747.796
20,1501614634,2747.59,2747.796
21,1501614637,2747.796,2747.796
22,1501614641,2747.59,2747.796
23,1501614654,2747.796,2747.796
24,1501614659,2747.59,2747.796
25,1501614662,2747.796,2747.796
26,1501614665,2747.59,2747.796
27,1501614669,2747.59,2747.795
28,1501614685,2747.796,2747.796
29,1501614689,2747.591,2747.796
30,1501614692,2747.591,2747.591
31,1501614692,2747.591,2747.794000000001
32,1501614695,2747.591,2747.794000000001
33,1501614728,2747.591,2747.591
34,1501614729,2747.591,2747.7929999999997
35,1501614729,2747.591,2747.793
36,1501614730,2747.591,2747.794000000001
37,1501614740,2747.794000000001,2747.794000000001
38,1501614742,2747.591,2747.794000000001
39,1501614747,2747.591,2747.793
40,1501614747,2747.591,2747.7929999999997
41,1501614761,2747.591,2747.794000000001
42,1501614764,2747.591,2747.793
43,1501614764,2747.591,2747.7929999999997
44,1501614767,2747.59,2747.7929999999997
45,1501614767,2747.476,2747.793
46,1501614767,2745.1020000000008,2746.735
47,1501614767,2747.4759999999997,2747.7929999999997
48,1501614767,2747.475,2747.793
49,1501614767,2745.1020000000008,2747.793
50,1501614767,2747.475,2747.7929999999997
51,1501614767,2747.59,2747.793
52,1501614767,2745.1020000000008,2747.7929999999997
53,1501614772,2745.1020000000008,2747.794000000001
54,1501614772,2745.1020000000008,2747.793
55,1501614772,2747.794000000001,2747.794000000001
56,1501614772,2745.1020000000008,2747.7929999999997
57,1501614774,2745.1020000000008,2747.7929999999997
58,1501614774,2745.1020000000008,2747.793
59,1501614782,2747.591,2747.793
60,1501614782,2747.591,2747.7929999999997
61,1501614782,2747.591064453125,2747.79296875
62,1501614789,2745.1020000000008,2747.794000000001
63,1501614789,2747.591,2747.794000000001
64,1501614789,2745.10205078125,2747.7939453125
65,1501614794,2744.991,2747.794000000001
66,1501614794,2744.989013671875,2747.7939453125
67,1501614794,2744.990966796875,2747.7939453125
68,1501614794,2744.992,2747.794000000001
69,1501614794,2744.991943359375,2747.7939453125
70,1501614794,2744.987,2747.794000000001
71,1501614794,2744.987060546875,2747.7939453125
72,1501614794,2744.989,2747.794000000001
73,1501614796,2744.987060546875,2747.7919921875
74,1501614796,2744.987,2747.792
75,1501614800,2744.987,2746.734000000001
76,1501614800,2744.0,2746.73388671875
77,1501614800,2744.0,2746.734000000001
78,1501614800,2744.987060546875,2746.73388671875
79,1501614806,2745.107,2746.734000000001
80,1501614806,2745.10693359375,2746.73388671875
81,1501614810,2745.10693359375,2745.153076171875
82,1501614810,2745.107,2745.153
83,1501614828,2745.107,2747.591
84,1501614828,2745.107,2746.734000000001
85,1501614828,2746.73388671875,2747.7919921875
86,1501614828,2746.734000000001,2747.792
87,1501614828,2745.10693359375,2747.591064453125
88,1501614828,2745.107,2747.792
89,1501614828,2745.10693359375,2746.73388671875
90,1501614828,2745.10693359375,2747.7919921875
91,1501614829,2746.73388671875,2747.791015625
92,1501614829,2746.734000000001,2747.791
93,1501614829,2746.734000000001,2747.7909999999997
94,1501614834,2745.107,2747.791
95,1501614834,2745.107,2747.7909999999997
96,1501614834,2745.10693359375,2747.791015625
97,1501614840,2745.107,2747.7909999999997
98,1501614840,2745.10693359375,2747.791015625
99,1501614840,2745.10693359375,2747.79296875
100,1501614840,2745.107,2747.791
101,1501614840,2745.107,2747.793
102,1501614840,2745.107,2747.7929999999997
103,1501614841,2745.107,2747.59
104,1501614841,2745.10693359375,2747.590087890625
105,1501614845,2745.107,2747.7929999999997
106,1501614845,2745.10693359375,2747.79296875
107,1501614845,2747.7939453125,2747.7939453125
108,1501614845,2745.10693359375,2747.7939453125
109,1501614845,2745.10693359375,2747.791015625
110,1501614845,2745.107,2747.793
111,1501614845,2745.107,2747.7909999999997
112,1501614845,2745.107,2747.794000000001
113,1501614845,2747.794000000001,2747.794000000001
114,1501614845,2745.107,2747.791
115,1501614852,2747.7939453125,2747.7939453125
116,1501614852,2747.794000000001,2747.794000000001
117,1501614857,2745.10693359375,2747.7939453125
118,1501614857,2745.107,2747.794000000001
119,1501614860,2747.794000000001,2747.794000000001
120,1501614860,2747.7939453125,2747.7939453125
121,1501614863,2745.10693359375,2747.7939453125
122,1501614863,2745.107,2747.794000000001
123,1501614871,2745.10693359375,2745.10693359375
124,1501614871,2745.107,2745.107
125,1501614879,2744.0009765625,2745.10693359375
126,1501614879,2744.0009999999997,2745.107
127,1501614879,2744.001,2745.107
128,1501614893,2744.0009765625,2747.7900390625
129,1501614893,2744.0009999999997,2747.79
130,1501614893,2744.0009765625,2747.7939453125
131,1501614893,2744.001,2747.79
132,1501614893,2744.001,2747.794000000001
133,1501614893,2744.0009999999997,2747.794000000001
134,1501614894,2744.0009765625,2747.79296875
135,1501614894,2744.0009999999997,2747.7929999999997
136,1501614894,2744.001,2747.793
137,1501614895,2744.0009999999997,2747.7909999999997
138,1501614895,2744.001,2747.791
139,1501614895,2744.0009765625,2747.791015625
140,1501614906,2744.0009999999997,2747.794000000001
141,1501614906,2744.0009765625,2747.79296875
142,1501614906,2744.001,2747.794000000001
143,1501614906,2744.0009765625,2747.7939453125
144,1501614906,2744.0009999999997,2747.7929999999997
145,1501614906,2744.001,2747.793
146,1501614917,2747.7939453125,2747.7939453125
147,1501614917,2747.794000000001,2747.794000000001
148,1501614923,2744.0009765625,2747.7939453125
149,1501614923,2744.001,2747.794000000001
150,1501614923,2744.0009999999997,2747.794000000001
151,1501614928,2744.0009999999997,2744.0009999999997
152,1501614928,2744.0009765625,2744.0009765625
153,1501614928,2744.001,2744.001
154,1501614930,2744.0,2744.0009765625
